Category,Language,Version,FileName,DirectLink
"OFFICE","Thai","x64","SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Thai_MLF_X19-36031.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Thai_MLF_X19-36031.ISO?"
"OFFICE","Thai","x32","SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Thai_MLF_X19-35874.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Thai_MLF_X19-35874.ISO?"
"OFFICE","Turkish","x64","SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Turkish_MLF_X19-36033.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Turkish_MLF_X19-36033.ISO?"
"OFFICE","Turkish","x32","SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Turkish_MLF_X19-35876.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Turkish_MLF_X19-35876.ISO?"
"OFFICE","Ukrainian","x64","SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Ukrainian_MLF_X19-36036.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Ukrainian_MLF_X19-36036.ISO?"
"OFFICE","Ukrainian","x32","SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Ukrainian_MLF_X19-35878.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Ukrainian_MLF_X19-35878.ISO?"
"OFFICE","Vietnamese","x64","SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Vietnamese_MLF_X19-36039.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_64Bit_Vietnamese_MLF_X19-36039.ISO?"
"OFFICE","Vietnamese","x32","SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Vietnamese_MLF_X19-35880.ISO","https://archive.isdn.network/office/SW_DVD5_Office_Professional_Plus_2013w_SP1_W32_Vietnamese_MLF_X19-35880.ISO?"
"OFFICE","Arabic","x64","SW_DVD5_Project_Pro_2013w_SP1_64Bit_Arabic_MLF_X19-35802.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_64Bit_Arabic_MLF_X19-35802.ISO?"
"OFFICE","Arabic","x32","SW_DVD5_Project_Pro_2013w_SP1_W32_Arabic_MLF_X19-35743.ISO","https://archive.isdn.network/office/SW_DVD5_Project_Pro_2013w_SP1_W32_Arabic_MLF_X19-35743.ISO?"
